ID,Trial,Audio File (if applicable),Location,Day of Trial,Conditions (CC %),Subject,Playback,Track #,Start,End,Response,R1,R2,R3,R4
Point 102B,1,230731_0080,Tres Cruces,7/31/2023,0,S. schulenbergi,S. schulenbergi,3,7:49 AM,8:22 AM,N,N,N,N,N
Point 102B,2,230802_0087,Tres Cruces,8/2/2023,50,S. schulenbergi,S. simonsi,4,7:42 AM,8:11 AM,Y,N,N,N,Y
Point 102B,3,Notes,Tres Cruces,8/3/2023,90,S. schulenbergi,S. atratus,1,7:37 AM,8:07 AM,Y,N,N,Y,N
,,,,,,,,,,,,,,,
Point 103A,1,230731_0081,Tres Cruces,7/31/2023,0,S. simonsi,S. simonsi,3,8:37 AM,9:11 AM,Y,N,N,N,Y
Point 103A,2,Notes,Tres Cruces,8/1/2023,98,S. simonsi,S. atratus,3,8:25 AM,8:58 AM,N,N,N,N,N
Point 103A,3,230802_0088,Tres Cruces,8/2/2023,60,S. simonsi,S. schulenbergi,2,8:28 AM,8:59 AM,N,N,N,N,N
Point 103A,4,Notes,Tres Cruces,8/3/2023,NA,S. simonsi,S. parvirostris,4,8:33 AM,9:06 AM,N,N,N,N,N
,,,,,,,,,,,,,,,
Point 103B,1,230731_0081,Tres Cruces,7/31/2023,0,S. schulenbergi,S. simonsi,3,8:37 AM,9:11 AM,N,N,N,N,N
Point 103B,2,Notes,Tres Cruces,8/1/2023,98,S. schulenbergi,S. atratus,3,8:25 AM,8:58 AM,Y,Y,Y,N,Y
Point 103B,3,230802_0088,Tres Cruces,8/2/2023,60,S. schulenbergi,S. schulenbergi,2,8:28 AM,8:59 AM,Y,Y,N,N,N
Point 103B,4,Notes,Tres Cruces,8/3/2023,NA,S. schulenbergi,S. parvirostris,4,8:33 AM,9:06 AM,N,N,N,N,N
,,,,,,,,,,,,,,,
Point 104A,1,230731_0082,Tres Cruces,7/31/2023,50,S. simonsi,S. schulenbergi,2,9:28 AM,9:59 AM,N,N,N,N,N
Point 104A,2,Notes,Tres Cruces,8/1/2023,85,S. simonsi,S. simonsi,1,9:09 AM,9:42 AM,Y,Y,Y,Y,Y
Point 104A,3,230802_0089,Tres Cruces,8/2/2023,80,S. simonsi,S. parvirostris,2,9:11 AM,9:36,N,N,N,N,NA
Point 104A,4,Notes,Tres Cruces,8/3/2023,98,S. simonsi,S. atratus,5,9:12 AM,9:42 AM,N,N,N,N,N
,,,,,,,,,,,,,,,
Point 104B,1,230731_0082,Tres Cruces,7/31/2023,50,S. schulenbergi,S. schulenbergi,2,9:28 AM,9:59 AM,Y,N,Y,N,N
Point 104B,2,Notes,Tres Cruces,8/1/2023,85,S. schulenbergi,S. simonsi,1,9:09 AM,9:42 AM,Y,Y,N,N,N
Point 104B,3,230802_0089,Tres Cruces,8/2/2023,80,S. schulenbergi,S. parvirostris,2,9:11 AM,9:36,N,N,N,N,NA
Point 104B,4,Notes,Tres Cruces,8/3/2023,98,S. schulenbergi,S. atratus,5,9:12 AM,9:42 AM,Y,Y,Y,Y,Y
,,,,,,,,,,,,,,,
Point 105,1,230801_0084,Tres Cruces,8/1/2023,35,S. simonsi,S. atratus,6,3:11 PM,3:44 PM,Y,N,Y,Y,N
Point 105,2,Notes,Tres Cruces,8/3/2023,100,S. simonsi,S. schulenbergi,1,2:47 PM,3:09 PM,N,N,N,N,NA
Point 105,3,Notes,Tres Cruces,8/4/2023,100,S. simonsi,S. simonsi,4,2:27 PM,2:50 PM,N,N,N,N,NA
,,,,,,,,,,,,,,,
Point 106A,1,230802_0085,Tres Cruces,8/2/2023,90,S. simonsi,S. parvirostris,1,5:59 AM,6:37 AM,Y,Y,Y,N,Y
Point 106A,2,Notes,Tres Cruces,8/3/2023,5,S. simonsi,S. schulenbergi,2,6:16 AM,6:46 AM,Y,Y,Y,Y,N
Point 106A,3,Notes,Tres Cruces,8/4/2023,80,S. simonsi,S. simonsi,3,6:25 AM,6:58 AM,Y,NA,NA,Y,N
Point 106A,4,Notes,Tres Cruces,8/5/2023,50,S. simonsi,S. atratus,6,6:20 AM,6:53 AM,Y,Y,Y,N,Y
,,,,,,,,,,,,,,,
Point 106B,,230802_0085,Tres Cruces,8/2/2023,90,S. schulenbergi,S. parvirostris,1,5:59 AM,6:37 AM,Y,N,Y,N,N
Point 106B,,Notes,Tres Cruces,8/3/2023,5,S. schulenbergi,S. schulenbergi,2,6:16 AM,6:46 AM,N,N,N,N,N
Point 106B,,Notes,Tres Cruces,8/4/2023,80,S. schulenbergi,S. simonsi,3,6:25 AM,6:58 AM,Y,NA,NA,Y,N
