Individual,ID,Trial Type,Trial Order,Audio File (if applicable),Location,Day of Trial,Conditions,Subject,Playback,Track,Start Time,End Time,Response,R1,R2,R3,R4,Visual ID,
SI101,SI101_AT,Hetero,3,230802_0086,Tres Cruces,8/2/2023,65,S. simonsi,S. atratus,2A,6:49 AM,7:22 AM,Y,N,Y,N,N,N,
SI101,SI101_PA,Hetero,4,Notes,Tres Cruces,8/3/2023,0,S. simonsi,S. parvirostris,6P,6:53 AM,7:23 AM,Y,N,N,N,Y,N,
SCHU101,SCHU101_SI,Hetero,1,230731_0079,Tres Cruces,7/31/2023,0,S. schulenbergi,S. simonsi,5SI,6:53 AM,7:26 AM,Y,N,Y,N,N,N,
SCHU101,SCHU101_SCHU,Con,2,230801_0083,Tres Cruces,8/1/2023,0,S. schulenbergi,S. schulenbergi,4SC,6:44 AM,7:19 AM,Y,Y,N,Y,Y,N,
SCHU101,SCHU101_AT,Hetero,3,230802_0086,Tres Cruces,8/2/2023,65,S. schulenbergi,S. atratus,2A,6:49 AM,7:22 AM,Y,Y,Y,Y,Y,Y,
SCHU101,SCHU101_PA,Hetero,4,Notes,Tres Cruces,8/3/2023,0,S. schulenbergi,S. parvirostris,6P,6:53 AM,7:23 AM,Y,N,N,Y,Y,N,
SI102,SI102_SCHU,Hetero,1,230731_0080,Tres Cruces,7/31/2023,0,S. simonsi,S. schulenbergi,3SC,7:49 AM,8:22 AM,N,N,N,N,N,N,
SI102,SI102_SI,Con,2,230802_0087,Tres Cruces,8/2/2023,50,S. simonsi,S. simonsi,4SI,7:42 AM,8:11 AM,Y,Y,Y,Y,Y,Y,
SI102,SI102_AT,Hetero,3,Notes,Tres Cruces,8/3/2023,90,S. simonsi,S. atratus,1A,7:37 AM,8:07 AM,N,N,N,N,N,N,
SCHU102,SCHU102_SI,Hetero,2,230802_0087,Tres Cruces,8/2/2023,50,S. schulenbergi,S. simonsi,4SI,7:42 AM,8:11 AM,Y,N,N,N,Y,N,
SCHU102,SCHU102_AT,Hetero,3,Notes,Tres Cruces,8/3/2023,90,S. schulenbergi,S. atratus,1A,7:37 AM,8:07 AM,Y,N,N,Y,N,N,
SI103,SI103_SI,Con,1,230731_0081,Tres Cruces,7/31/2023,0,S. simonsi,S. simonsi,3SI,8:37 AM,9:11 AM,Y,N,N,N,Y,N,
SI103,SI103_AT,Hetero,2,Notes,Tres Cruces,8/1/2023,98,S. simonsi,S. atratus,3A,8:25 AM,8:58 AM,N,N,N,N,N,N,
SI103,SI103_SCHU,Hetero,3,230802_0088,Tres Cruces,8/2/2023,60,S. simonsi,S. schulenbergi,2SC,8:28 AM,8:59 AM,N,N,N,N,N,N,
SI103,SI103_PA,Hetero,4,Notes,Tres Cruces,8/3/2023,NA,S. simonsi,S. parvirostris,4P,8:33 AM,9:06 AM,N,N,N,N,N,N,
SCHU103,SCHU103_SI,Hetero,1,230731_0081,Tres Cruces,7/31/2023,0,S. schulenbergi,S. simonsi,3SI,8:37 AM,9:11 AM,N,N,N,N,N,N,
SCHU103,SCHU103_AT,Hetero,2,Notes,Tres Cruces,8/1/2023,98,S. schulenbergi,S. atratus,3A,8:25 AM,8:58 AM,Y,Y,Y,N,Y,N,
SCHU103,SCHU103_SCHU,Con,3,230802_0088,Tres Cruces,8/2/2023,60,S. schulenbergi,S. schulenbergi,2SC,8:28 AM,8:59 AM,Y,Y,N,N,N,N,
SCHU103,SCHU103_PA,Hetero,4,Notes,Tres Cruces,8/3/2023,NA,S. schulenbergi,S. parvirostris,4P,8:33 AM,9:06 AM,N,N,N,N,N,N,
SI104,SI104_SCHU,Hetero,1,230731_0082,Tres Cruces,7/31/2023,50,S. simonsi,S. schulenbergi,2SC,9:28 AM,9:59 AM,N,N,N,N,N,N,
SI104,SI104_SI,Con,2,Notes,Tres Cruces,8/1/2023,85,S. simonsi,S. simonsi,1SI,9:09 AM,9:42 AM,Y,Y,Y,Y,Y,N,
SI104,SI104_PA,Hetero,3,230802_0089,Tres Cruces,8/2/2023,80,S. simonsi,S. parvirostris,2P,9:11 AM,9:36 AM,N,N,N,N,NF,N,
SI104,SI104_AT,Hetero,4,Notes,Tres Cruces,8/3/2023,98,S. simonsi,S. atratus,5A,9:12 AM,9:42 AM,N,N,N,N,N,N,
SCHU104,SCHU104_SCHU,Con,1,230731_0082,Tres Cruces,7/31/2023,50,S. schulenbergi,S. schulenbergi,2SC,9:28 AM,9:59 AM,Y,N,Y,N,N,N,
SCHU104,SCHU104_SI,Hetero,2,Notes,Tres Cruces,8/1/2023,85,S. schulenbergi,S. simonsi,1SI,9:09 AM,9:42 AM,Y,Y,N,N,N,N,
SCHU104,SCHU104_PA,Hetero,3,230802_0089,Tres Cruces,8/2/2023,80,S. schulenbergi,S. parvirostris,2P,9:11 AM,9:36 AM,N,N,N,N,NF,N,
SCHU104,SCHU104_AT,Hetero,4,Notes,Tres Cruces,8/3/2023,98,S. schulenbergi,S. atratus,5A,9:12 AM,9:42 AM,Y,Y,Y,Y,Y,N,
SI105,SI105_AT,Hetero,1,230801_0084,Tres Cruces,8/1/2023,35,S. simonsi,S. atratus,6A,3:11 PM,3:44 PM,Y,N,N,Y,N,N,
SI105,SI105_SCHU,Hetero,2,Notes,Tres Cruces,8/3/2023,100,S. simonsi,S. schulenbergi,1SC,2:47 PM,3:09 PM,N,N,N,N,NF,Y,
SI105,SI105_SI,Con,3,Notes,Tres Cruces,8/4/2023,100,S. simonsi,S. simonsi,4SI,2:27 PM,2:50 PM,N,N,N,N,NA,N,
SI106,SI106_PA,Hetero,1,230802_0085,Tres Cruces,8/2/2023,90,S. simonsi,S. parvirostris,1P,5:59 AM,6:37 AM,Y,Y,Y,N,Y,N,
SI106,SI106_SCHU,Hetero,2,Notes,Tres Cruces,8/3/2023,5,S. simonsi,S. schulenbergi,2SC,6:16 AM,6:46 AM,Y,Y,Y,Y,N,N,
SI106,SI106_SI,Con,3,Notes,Tres Cruces,8/4/2023,80,S. simonsi,S. simonsi,3SI,6:25 AM,6:58 AM,Y,N,N,Y,N,N,
SI106,SI106_AT,Hetero,4,Notes,Tres Cruces,8/5/2023,50,S. simonsi,S. atratus,6A,6:20 AM,6:53 AM,Y,Y,Y,N,Y,N,
SCHU106,SCHU106_PA,Hetero,1,230802_0085,Tres Cruces,8/2/2023,90,S. schulenbergi,S. parvirostris,1P,5:59 AM,6:37 AM,Y,N,Y,N,N,N,
SCHU106,SCHU106_SCHU,Con,2,Notes,Tres Cruces,8/3/2023,5,S. schulenbergi,S. schulenbergi,2SC,6:16 AM,6:46 AM,Y,Y,N,N,N,N,
SCHU106,SCHU106_SI,Hetero,3,Notes,Tres Cruces,8/4/2023,80,S. schulenbergi,S. simonsi,3SI,6:25 AM,6:58 AM,Y,Y,Y,Y,N,Y,
SCHU106,SCHU106_AT,Hetero,4,Notes,Tres Cruces,8/5/2023,50,S. schulenbergi,S. atratus,6A,6:20 AM,6:53 AM,N,N,N,N,N,N,
SI107,SI107_SCHU,Hetero,1,Notes,Tres Cruces,8/4/2023,90,S. simonsi,S. schulenbergi,2SC,7:58 AM,8:30 AM,Y,Y,N,N,Y,N,
SI107,SI107_AT,Hetero,2,Notes,Tres Cruces,8/5/2023,55,S. simonsi,S. atratus,1A,7:53 AM,8:23 AM,N,N,N,N,N,N,
SI107,SI107_SI,Con,3,Notes,Tres Cruces,8/6/2023,60,S. simonsi,S. simonsi,3SI,8:08 AM,8:39 AM,Y,Y,Y,Y,Y,N,
SI107,SI107_PA,Hetero,4,Notes,Tres Cruces,8/8/2023,70,S. simonsi,S. parvirostris,5P,8:08 AM,8:43 AM,Y,Y,N,N,Y,N,
SCHU107,SCHU107_SCHU,Con,1,Notes,Tres Cruces,8/4/2023,90,S. schulenbergi,S. schulenbergi,2SC,7:58 AM,8:30 AM,Y,N,N,Y,Y,N,
SCHU107,SCHU107_AT,Hetero,2,Notes,Tres Cruces,8/5/2023,55,S. schulenbergi,S. atratus,1A,7:53 AM,8:23 AM,Y,Y,Y,Y,N,Y,
SCHU107,SCHU107_SI,Hetero,3,Notes,Tres Cruces,8/6/2023,60,S. schulenbergi,S. simonsi,3SI,8:08 AM,8:39 AM,Y,Y,N,Y,Y,N,
SCHU107,SCHU107_PA,Hetero,4,Notes,Tres Cruces,8/8/2023,70,S. schulenbergi,S. parvirostris,5P,8:08 AM,8:43 AM,Y,N,N,N,Y,N,
SCHU108,SCHU108_AT,Hetero,1,Notes,Tres Cruces,8/4/2023,65,S. schulenbergi,S. atratus,5A,8:58 AM,9:20 AM,N,N,N,N,NF,N,
SCHU108,SCHU108_PA,Hetero,2,Notes,Tres Cruces,8/6/2023,65,S. schulenbergi,S. parvirostris,2P,8:55 AM,9:25 AM,Y,Y,Y,N,Y,N,
SCHU108,SCHU108_SI,Hetero,3,Notes,Tres Cruces,8/8/2023,100,S. schulenbergi,S. simonsi,2SI,8:57 AM,9:20 AM,N,N,N,N,NF,N,
SCHU108,SCHU108_SCHU,Con,4,Notes,Tres Cruces,8/9/2023,100,S. schulenbergi,S. schulenbergi,4SC,8:40 AM,9:13 AM,Y,N,N,Y,N,N,
SCHU109,SCHU109_AT,Hetero,1,Notes,Tres Cruces,8/6/2023,75,S. schulenbergi,S. atratus,3A,9:38 AM,10:08 AM,Y,Y,N,Y,Y,N,
SCHU109,SCHU109_PA,Hetero,2,Notes,Tres Cruces,8/8/2023,75,S. schulenbergi,S. parvirostris,3P,9:34 AM,10:04 AM,Y,N,Y,N,Y,N,
SCHU109,SCHU109_SCHU,Con,3,Notes,Tres Cruces,8/9/2023,100,S. schulenbergi,S. schulenbergi,2SC,9:44 AM,10:14 AM,Y,Y,N,Y,N,N,
SCHU110,SCHU110_SCHU,Con,1,Notes,Tres Cruces,8/5/2023,100,S. schulenbergi,S. schulenbergi,4SC,9:55 AM,10:26 AM,Y,Y,N,N,N,N,
SCHU110,SCHU110_SI,Hetero,2,Notes,Tres Cruces,8/6/2023,100,S. schulenbergi,S. simonsi,4SI,10:20 AM,10:51 AM,Y,N,N,Y,N,N,
SCHU110,SCHU110_AT,Hetero,3,Notes,Tres Cruces,8/8/2023,100,S. schulenbergi,S. atratus,1A,10:18 AM,10:48 AM,Y,Y,N,N,Y,N,
SCHU110,SCHU110_PA,Hetero,4,Notes,Tres Cruces,8/9/2023,100,S. schulenbergi,S. parvirostris,5P,10:26 AM,10:50 AM,N,N,N,N,NF,N,
SI111,SI111_PA,Hetero,1,Notes,Tres Cruces,8/5/2023,100,S. simonsi,S. parvirostris,3P,2:38 PM,3:01 PM,N,N,N,N,NF,N,
SI111,SI111_SCHU,Hetero,2,Notes,Tres Cruces,8/8/2023,70,S. simonsi,S. schulenbergi,3SC,2:32 PM,2:54 PM,N,N,N,N,NF,N,
